"","X","REGION","ISLAND","SPECIES","TAXONNAME","FAMILY","CONSUMER_GROUP","SpecCode","Genus","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","Amphibious","AmphibiousRef","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"101",101,"MARIAN","Guam","CHCI","Chaetodon citrinellus","Chaetodontidae","SECONDARY",5561,"Chaetodon",1602,"Cuvier, 1831","Speckled butterflyfish","Chcit_u6.jpg",NA,NA,NA,343,NA,364,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,1,36,1602,1,5,90102,NA,NA,NA,NA,10,13,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"CHCIT_U5",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Common in shallow exposed reef flats, lagoons, and seaward reefs; in relatively open areas with scattered corals and occasionally at depth of 36 m (Ref. 205).  Benthopelagic (Ref. 58302).  May be solitary or in small groups (Ref. 90102).  Usually in pairs.  Juveniles often in small aggregations and commonly mix with other similar sized juveniles, especially <i>C. kleinii</i>.  Feed on small worms, small benthic invertebrates, coral polyps, and filamentous algae.  Oviparous.  Form pairs during breeding (Ref. 205).",NA,0.5,0,14,707702400,2310,1366156800,18,776649600,NA
"102",102,"MARIAN","Guam","CHCL","Cheilinus chlorourus","Labridae","SECONDARY",5598,"Cheilinus",9823,"(Bloch, 1791)","Floral wrasse","Chchl_u0.jpg","Chchl_m0.jpg",NA,"Chchl_j0.jpg",362,"Cheilininae",1522,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,1,30,9823,NA,NA,NA,NA,NA,NA,NA,43.8,45,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"CHCHL_U5",NA,NA,NA,5374,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"hooks and lines",NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",9210,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults inhabit lagoon and coastal reefs, in areas with mixed sand, rubble, and coral (Ref. 9710).  Occasionally in grassy areas.  Feed mainly on benthic  invertebrates such as mollusks and crustaceans.  Oviparous, distinct pairing during breeding (Ref. 205).",NA,0.5078,0,14,708134400,2,1311811200,154,812678400,NA
"103",103,"MARIAN","Guam","CHEI","Cheilinus sp","Labridae","SECONDARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,"MARIAN","Guam","CHEP","Chaetodon ephippium","Chaetodontidae","SECONDARY",5562,"Chaetodon",1602,"Cuvier, 1831","Saddle butterflyfish","Cheph_u8.jpg",NA,NA,NA,343,NA,364,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,0,30,1602,NA,NA,NA,NA,NA,NA,NA,23.58,30,"TL",NA,NA,559,NA,NA,NA,NA,NA,NA,NA,NA,"CHEPH_U6",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,4859,"never/rarely",4859,"commercial","based mainly on capture",5358,0,4859,"harmless",4859,"no special ability",NA,NA,-1,"Occur in lagoons and seaward reefs to a depth of 30 m, prefer coral-rich and clear water areas (Ref. 205).  Benthopelagic (Ref. 58302).  Encountered singly, in pairs or small groups (adults often in pairs; juveniles solitary and inshore).  Feed on filamentous algae, small invertebrates, coral polyps, and fish eggs.  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205).",NA,0.5,0,14,707702400,1472,1200614400,18,776649600,NA
"105",105,"MARIAN","Guam","CHFA","Cheilinus fasciatus","Labridae","SECONDARY",5600,"Cheilinus",9823,"(Bloch, 1791)","Redbreasted wrasse","Chfas_u2.jpg",NA,NA,NA,362,"Cheilininae",1522,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,4,60,9823,4,40,27115,NA,NA,NA,NA,52.24,40,"SL",NA,NA,9823,NA,NA,NA,NA,NA,NA,NA,NA,"CHFAS_U9",NA,NA,NA,5374,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"hooks and lines",NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",9210,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults inhabit lagoon and seaward reefs, usually in areas with mixed coral, sand, and rubble (Ref. 9710). Young common on silty reefs, usually along edges with algae-rubble and sand (Ref. 48636).   Feed mainly on benthic, hard-shelled invertebrates, including mollusks, crustaceans and sea urchins (Ref. 5374).  Oviparous, distinct pairing during breeding (Ref. 205). Caught on hook-and-line with some frequency, this species is marketed in small numbers. Occasionally seen in the aquarium trade (Ref. 9823).",NA,0.5078,0,14,708134400,14,1548720000,154,812678400,NA
"106",106,"MARIAN","Guam","CHFN","Chlorurus frontalis","Scaridae","PRIMARY",5547,"Chlorurus",2334,"(Valenciennes, 1840)","Pacific slopehead parrotfish","Chfro_u0.jpg",NA,NA,NA,364,"Scarinae",4235,NA,"elongated","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,10,40,9710,NA,NA,NA,NA,NA,NA,NA,24.27,50,"TL",NA,NA,2334,38,"SL",NA,NA,37816,NA,NA,NA,"SCFRO_U0",NA,NA,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",9210,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Often seen in small schools on exposed reef flats and seaward reefs (Ref. 1602).  Minimum depth reported from Ref. 90102. Feeds on benthic algae (Ref. 89972).",NA,0.5,0,14,707702400,2291,1413504000,14,802396800,NA
"107",107,"MARIAN","Guam","CHGL","Chrysiptera glauca","Pomacentridae","PRIMARY",5696,"Chrysiptera",7247,"(Cuvier, 1830)","Grey demoiselle","Chgla_u2.jpg",NA,NA,NA,350,"Pomacentrinae",1450,NA,"fusiform / normal","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,"non-migratory",NA,0,3,30874,NA,NA,NA,NA,NA,NA,NA,16.69,11.5,"TL",NA,NA,90102,NA,NA,NA,NA,NA,NA,NA,NA,"CHGLA_U0",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults occur among rubble or consolidated reef rock of exposed intertidal reef flats and sandy beaches, subject to mild surge.  Also near freshwater run-offs (Ref. 48636).  They occur in small groups.  Feed mainly on benthic algae.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",NA,0.5,0,14,708220800,2310,1366934400,65,777859200,NA
"108",108,"MARIAN","Guam","CHIN","Cheilio inermis","Labridae","SECONDARY",5623,"Cheilio",2334,"(Forssk<e5>l, 1775)","Cigar wrasse","Chine_m2.jpg",NA,NA,NA,362,"Corinae",2010,NA,"elongated","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,1,30,1602,2,30,27115,NA,NA,NA,NA,58.05,50,"SL",NA,NA,9823,35,"TL",NA,NA,5450,NA,NA,NA,"CHINE_U9","CHINE_F0",NA,NA,5374,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"various gears",NA,-1,0,0,0,0,0,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabit seagrass beds and algal-covered flats, occasionally in lagoon and seaward reefs to a depth of at least 30 m (Ref. 1602, 41878, 48636).  Benthopelagic (Ref. 58302).  Usually solitary.  Juveniles secretive in seagrasses or attached <i>Sargassum</i>; adults usually in small loose aggregations, but occasionally form large schools to spawn (Ref. 48636).  Feed mainly on crustaceans, mollusks, sea urchins (Ref. 37816) and other hard-shelled prey.  Oviparous, distinct pairing during breeding (Ref. 205).",NA,1,0,14,708134400,2,1311811200,154,812678400,NA
"109",109,"MARIAN","Guam","CHKL","Chaetodon kleinii","Chaetodontidae","PLANKTIVORE",5446,"Chaetodon",1602,"Bloch, 1790","Sunburst butterflyfish","Chkle_u6.jpg",NA,NA,NA,343,NA,364,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,4,61,9710,10,NA,1602,NA,NA,NA,NA,12.01,15,"TL",NA,NA,5372,NA,NA,NA,NA,NA,NA,NA,NA,"CHKLE_U4",NA,NA,NA,NA,"subsistence fisheries","unknown",NA,NA,NA,NA,"gillnets",NA,0,-1,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",4907,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Occur in deeper lagoons and channels, and seaward reefs (Ref. 1602).  Benthopelagic (Ref. 58302).  Depth 2-61 m, usually below 10 m (Ref. 90102).  Occur singly or in pairs (Ref. 37816).  Common, omnivorous individuals that feed mainly on soft coral polyps (mainly on <i>Sarcophyton tracheliophorum</i> and <i>Litophyton viridis</i>), algae and zooplankton.  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205).",NA,0.5,0,1,705196800,1472,1366156800,18,776649600,NA
"110",110,"MARIAN","Guam","CHLI","Chaetodon lineolatus","Chaetodontidae","SECONDARY",5564,"Chaetodon",4859,"Cuvier, 1831","Lined butterflyfish","Chlin_u3.jpg",NA,NA,"Chlin_j0.jpg",343,NA,364,NA,"short and / or deep","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,2,171,1602,NA,NA,NA,10,72479,NA,NA,23.58,30,"TL",NA,NA,5372,NA,NA,NA,NA,NA,NA,NA,NA,"CHLIN_U6",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Occur in lagoon and seaward reefs, usually in pairs in coral rich areas (Ref. 1602).  Benthopelagic (Ref. 58302).  Feed mainly on coral polyps and anemones, but also on small invertebrates and algae (Ref. 1602).  Largest species in the genus (Ref. 9710).  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205).",NA,0.5,0,14,707702400,1472,1201564800,18,776649600,NA
"111",111,"MARIAN","Guam","CHLT","Chaetodon lunulatus","Chaetodontidae","SECONDARY",14300,"Chaetodon",47838,"Quoy & Gaimard, 1825","Oval butterflyfish","Chlun_ua.jpg",NA,NA,NA,343,NA,364,NA,"short and / or deep","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,3,30,89972,NA,NA,NA,NA,NA,NA,NA,10,14,"TL",NA,NA,48636,NA,NA,NA,NA,NA,NA,NA,NA,"CHLUN_UC",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Occur in monogamous pairs in coastal coral-rich areas (Ref. 47838, 48636).  Juveniles hide among branches of small corals, often in lagoons (Ref. 9407).  Benthopelagic (Ref. 58302).  Feed solely on live corals (Ref. 47838).  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205).",NA,0.5,0,14,806889600,1472,1413158400,NA,NA,NA
"112",112,"MARIAN","Guam","CHLU","Chaetodon lunula","Chaetodontidae","SECONDARY",5565,"Chaetodon",5372,"(Lacep<e8>de, 1802)","Raccoon butterflyfish","Chlun_u0.jpg",NA,NA,"Chlun_j0.jpg",343,NA,364,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,0,170,89972,NA,NA,NA,9,72479,NA,NA,15.01,20,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"CHLUN_UD",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Nocturnal species that is usually in pairs or small groups in shallow reef flats of lagoon and seaward reefs to depths of over 30 m.  Juvenile occurs among rocks of inner reef flats and in tide pools (Ref. 205).  Benthopelagic (Ref. 58302).  Adult feeds mainly on nudibranchs, tubeworm tentacles, and other benthic invertebrates, also feeds on algae and coral polyps.  Oviparous (Ref. 205).  Forms pairs during breeding (Ref. 205).",NA,0.5,0,14,707702400,1472,1413158400,113,854928000,NA
"113",113,"MARIAN","Guam","CHMA","Chromis margaritifer","Pomacentridae","PLANKTIVORE",5675,"Chromis",7247,"Fowler, 1946","Bicolor chromis","Chmar_u6.jpg",NA,NA,NA,350,"Pomacentrinae",2049,NA,"short and / or deep","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,"non-migratory",NA,2,20,7247,NA,NA,NA,NA,NA,NA,NA,29.23,9,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"CHMAR_U0",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",4537,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults are usually seen singly or in small groups on coastal reefs, amongst mixed algae-coral reef or rocky reefs (Ref. 48636).  They are found on exposed seaward reefs; less abundant in lagoons and channels.  Feed on zooplankton.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",NA,0.5,0,14,708220800,2,1311033600,34,776390400,NA
"114",114,"MARIAN","Guam","CHMC","Chlorurus microrhinos","Scaridae","PRIMARY",60479,"Chlorurus",35918,"(Bleeker, 1854)","Steephead parrots","Chmic_u9.jpg",NA,NA,NA,364,"Scarinae",4235,NA,"fusiform / normal","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,1,50,90102,1,15,89972,NA,NA,NA,NA,36.88,70,"TL",NA,NA,2334,49,"SL",40,"SL",37816,5400,NA,37816,NA,NA,NA,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"reports of ciguatera poisoning",4690,"no special ability",NA,NA,-1,"Occurs in lagoon and seaward reefs.  Juveniles generally solitary; large adults often school together. Feeds on benthic algae (Ref. 89972).",NA,0.5,0,14,1055721600,2291,1413504000,NA,NA,NA
"115",115,"MARIAN","Guam","CHME","Chaetodon meyeri","Chaetodontidae","SECONDARY",5568,"Chaetodon",1602,"Bloch & Schneider, 1801","Scrawled butterflyfish","Chmey_u3.jpg",NA,NA,NA,343,NA,364,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,"non-migratory",NA,2,25,9710,NA,NA,NA,NA,NA,NA,NA,15.01,20,"TL",NA,NA,48636,NA,NA,NA,NA,NA,NA,NA,NA,"CHMEY_U0",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",4907,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Occur in coral rich areas of clear lagoon and seaward reefs, and feed exclusively on coral polyps (Ref. 9710).  Juvenile usually solitary among branching corals, adults usually paired and home-ranging (Ref. 9710, 48636).  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205).",NA,0.5,0,14,707702400,2,1141689600,113,855014400,NA
"116",116,"MARIAN","Guam","CHML","Chaetodon melannotus","Chaetodontidae","SECONDARY",5566,"Chaetodon",1602,"Bloch & Schneider, 1801","Blackback butterflyfish","Chmel_us.jpg",NA,NA,NA,343,NA,364,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,"non-migratory",NA,2,20,90102,NA,NA,NA,20,56281,NA,NA,47.26,18,"TL",NA,NA,56281,NA,NA,NA,NA,NA,NA,NA,NA,"CHMEL_U8",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",4907,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Usually solitary or in pairs in coral-rich areas of reef flats, lagoons, and seaward reefs to a depth of over 15 m.  Juveniles inshore.  In pairs or traveling in small groups (Ref. 48636).  Feed on octocorallian and scleractinian coral polyps.  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205).  Easy to maintain in the aquarium.  Minimum depth reported taken from Ref. 30874.",NA,0.5,0,14,707702400,2310,1366156800,113,854928000,NA
"117",117,"MARIAN","Guam","CHMR","Chaetodon mertensii","Chaetodontidae","PRIMARY",5567,"Chaetodon",1602,"Cuvier, 1831","Atoll butterflyfish","Chmer_u0.jpg",NA,NA,NA,343,NA,364,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,"non-migratory",NA,10,120,1602,NA,NA,NA,NA,NA,NA,NA,10,12.5,"TL",NA,NA,4859,NA,NA,NA,NA,NA,NA,NA,NA,"CHMER_U5",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",1602,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabit deep lagoons and seaward reefs.  Occur singly or in pairs.  Feed on algae and small benthic invertebrates (Ref. 1602).  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205).  May hybridize with <i>C. xanthurus</i>.",NA,0.5,0,14,707702400,2,1141689600,18,776649600,NA
"118",118,"MARIAN","Guam","CHOR","Chaetodon ornatissimus","Chaetodontidae","SECONDARY",6550,"Chaetodon",1602,"Cuvier, 1831","Ornate butterflyfish","Chorn_u5.jpg",NA,NA,NA,343,NA,364,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,1,36,1602,NA,NA,NA,NA,NA,NA,NA,15.01,20,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"CHORN_U3",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Occur in clear waters and coral-rich areas of lagoon and seaward reefs.  However, only common in seaward reefs (Ref. 1602).  Benthopelagic (Ref. 58302).  Juveniles are solitary, living among branching corals, while adults are almost always in pairs and are home-ranging.  Feed exclusively on coral tissue (Ref. 1602).  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205).",NA,0.5,0,14,721958400,303,1366156800,18,776649600,NA
"119",119,"MARIAN","Guam","CHOX","Cheilinus oxycephalus","Labridae","SECONDARY",5602,"Cheilinus",2334,"Bleeker, 1853","Snooty wrasse","Choxy_u4.jpg",NA,NA,NA,362,"Cheilininae",1522,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,1,40,37816,NA,NA,NA,NA,NA,NA,NA,25.85,17,"TL",NA,NA,30573,NA,NA,NA,NA,NA,NA,NA,NA,"CHOXY_U6",NA,NA,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found in coral-rich areas of lagoon and seaward reefs at depths of 1 to over 40 m (Ref. 1602, 48636, 58534).  A secretive  species (Ref. 8631, 48636), rarely ventures more than a few centimeters from shelter (Ref. 1602).  A shy species, usually found in pairs when adult (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205).",NA,0.5078,0,14,708134400,2,1311811200,14,796262400,NA
"120",120,"MARIAN","Guam","CHPU","Chaetodon punctatofasciatus","Chaetodontidae","SECONDARY",5571,"Chaetodon",2334,"Cuvier, 1831","Spotband butterflyfish","Chpun_u0.jpg",NA,NA,NA,343,NA,364,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,1,45,9710,NA,NA,NA,NA,NA,NA,NA,10,12,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"CHPUN_U3",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",4859,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Common in coral rich areas and clear waters of lagoon and seaward reefs.  Sometimes found on outer subtidal reef flats (Ref. 1602).  Juveniles secretive (Ref. 48636).  Feed on filamentous algae, corals, and benthic invertebrates.  Often in pairs during breeding (Ref. 205), monogamous (Ref. 52884).  Oviparous (Ref. 205).  Occasionally hybridize with <i>C. pelewensis</i> in the southern part of its range (Ref. 9710).",NA,0.5,0,14,707702400,2,1141689600,18,776649600,NA
"121",121,"MARIAN","Guam","CHPW","Chaetodon pelewensis","Chaetodontidae","SECONDARY",6606,"Chaetodon",4859,"Kner, 1868","Sunset butterflyfish","Chpel_u5.jpg",NA,NA,NA,343,NA,364,NA,"short and / or deep","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,1,30,9710,NA,NA,NA,NA,NA,NA,NA,10,12.5,"TL",NA,NA,4859,NA,NA,NA,NA,NA,NA,NA,NA,"CHPEL_U1",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",4859,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Feed mainly on coral polyps and small benthic invertebrates (Ref. 2334, 48636).  Oviparous (Ref. 205), monogamous (Ref. 52884).  Adults usually paired during breeding (Ref. 9710), but juveniles solitary (Ref. 48636).  Can adapt  easily to tank life and willingly accept nearly all kinds of food offered.",NA,0.5,0,2,722649600,2,1141689600,18,776649600,NA
"122",122,"MARIAN","Guam","CHQN","Cheilodipterus quinquelineatus","Apogonidae","SECONDARY",5482,"Cheilodipterus",8525,"Cuvier, 1828","Five-lined cardinalfish","Chqui_u1.jpg",NA,NA,NA,304,"Apogoninae",4030,NA,"elongated","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,0,40,9710,NA,NA,NA,NA,NA,NA,NA,12.47,13,"TL",NA,NA,2158,NA,NA,NA,NA,NA,NA,NA,NA,"CHQUI_U0",NA,NA,NA,NA,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"public aquariums","based mainly on capture",13603,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits reef flats and lagoon and seaward reefs to a depth of 40 m or more.  Occurs singly or in small to large aggregations, taking shelter in dark crevices, branched coral, under ledges, and among the spines of <i>Diadema setosum</i>.  Nocturnal species (Ref. 7300).  Feeds on small crustaceans and gastropods, also on small fishes.  Generally common (Ref. 9710).  Has been reared in captivity (Ref. 35404).",NA,0.5,0,1,706320000,2291,1364169600,113,853977600,NA
"123",123,"MARIAN","Guam","CHQU","Chaetodon quadrimaculatus","Chaetodontidae","SECONDARY",5572,"Chaetodon",1602,"Gray, 1831","Fourspot butterflyfish","Chqua_u2.jpg",NA,NA,"Chqua_j0.jpg",343,NA,364,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,2,43,89972,2,15,1602,NA,NA,NA,NA,12.47,16,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found almost exclusively on exposed seaward reefs (Ref. 205).  Benthopelagic (Ref. 58302).  Feed mainly on polyps of <i>Pocillopora</i>.  Solitary or in pairs.  Oviparous (Ref. 205), monogamous (Ref. 52884).  Form pairs during breeding (Ref. 205).",NA,0.5,0,14,707702400,2291,1413158400,18,776649600,NA
